Timestamp,UserID,Event Name,UUID,Param/PlayerNumber,Param/NumberOfAttacksInput,Param/NumberOfBlocksInput,Param/NumberOfHitsBlocked,Param/NumberOfHitsTaken,Param/TotalEnergyUsed,Param/TotalEnergyGenerated,Param/AverageEnergyUsed,Param/TotalDistanceTraveled,Param/PlayerDefeated,Param/TotalDuelTime,Param/NumberOfClashes
21/11/2023 13:54:46,NULL,DuelOverData,1f345bd3cbfb90fe17a7d6a301e2ce46,,,,,,,,,,2,18.8381424,2
21/11/2023 13:57:29,NULL,PlayerDuelOverData,3a63b6236764e799ab51ede8cb462115,1,6,1,0,7,120,135,7.832621,41.31936,,,
21/11/2023 13:57:29,NULL,PlayerDuelOverData,3a63b6236764e799ab51ede8cb462115,2,9,2,0,6,180,130,11.7489309,36.8691025,,,
21/11/2023 13:57:29,NULL,DuelOverData,0348b4a9a6c910c8a14b6a8dfa9c14ed,,,,,,,,,,2,15.3205423,4
21/11/2023 13:58:28,NULL,PlayerDuelOverData,b208d6fbcaf800f616d4644986f90ba2,1,21,8,1,9,440,420,9.899038,56.03017,,,
21/11/2023 13:58:28,NULL,PlayerDuelOverData,b208d6fbcaf800f616d4644986f90ba2,2,11,10,5,9,380,355,8.54917,66.58216,,,
21/11/2023 13:58:28,NULL,DuelOverData,d04fd6138e5e497c3560c921b8c7a9b2,,,,,,,,,,1,44.44876,2
21/11/2023 13:59:41,NULL,PlayerDuelOverData,f291d33ba20b95782bab6dda409f7d82,1,8,3,1,6,175,75,17.6979752,23.6279278,,,
21/11/2023 13:59:41,NULL,PlayerDuelOverData,f291d33ba20b95782bab6dda409f7d82,2,6,6,0,6,120,80,12.1357546,22.2063084,,,
21/11/2023 13:59:41,NULL,DuelOverData,a7ccc30a8ef5c48b17ee7e41fbe504ec,,,,,,,,,,1,9.888137,2
21/11/2023 14:00:48,NULL,PlayerDuelOverData,769fb604428da1ec9f421b08619c5095,1,9,5,1,4,200,105,17.84301,23.14845,,,
21/11/2023 14:00:48,NULL,PlayerDuelOverData,769fb604428da1ec9f421b08619c5095,2,7,5,2,6,185,110,16.5047855,28.1395912,,,
21/11/2023 14:00:48,NULL,DuelOverData,84a1d3c442ac2cab3fa03e3cfd9778fa,,,,,,,,,,2,11.2088709,0
21/11/2023 14:02:10,NULL,PlayerDuelOverData,ac48aa4bd358a5b50256362ed54aad13,1,13,5,0,7,260,480,5.50418568,97.51266,,,
21/11/2023 14:02:10,NULL,PlayerDuelOverData,ac48aa4bd358a5b50256362ed54aad13,2,21,15,1,8,460,450,9.738174,81.19762,,,
21/11/2023 14:02:10,NULL,DuelOverData,7fa5c30f02d7379b4d817ba4df607bea,,,,,,,,,,2,47.23678,2
21/11/2023 16:36:02,NULL,PlayerDuelOverData,dc9c95c3cc139725a0746a870d6ab9b8,1,0,0,0,5,0,0,0,9.504978,,,
21/11/2023 16:36:02,NULL,PlayerDuelOverData,dc9c95c3cc139725a0746a870d6ab9b8,2,6,0,0,0,120,20,41.27396,9.482143,,,
21/11/2023 16:36:02,NULL,DuelOverData,cfda687d7c53fad58760febf72c56ad2,,,,,,,,,,1,2.907402,0
21/11/2023 16:43:43,NULL,PlayerDuelOverData,541bcd5fe237983912b02e2887a61ce5,1,15,5,0,3,300,260,11.616931,59.63763,,,
21/11/2023 16:43:43,NULL,PlayerDuelOverData,541bcd5fe237983912b02e2887a61ce5,2,7,4,1,9,160,240,6.19569635,62.64616,,,
21/11/2023 16:43:43,NULL,DuelOverData,fe5c1b9b74eead2df94c0962b3a2e9f3,,,,,,,,,,2,25.8243771,2
21/11/2023 16:45:35,NULL,PlayerDuelOverData,c74388659f2138179cde1922ced891a8,1,7,3,0,3,140,90,12.5568438,19.6467533,,,
21/11/2023 16:45:36,NULL,PlayerDuelOverData,81e1ac381c62d18f3483a9bf15c34076,2,3,0,0,6,60,80,5.38150454,16.5189476,,,
21/11/2023 16:45:36,NULL,DuelOverData,73533aa967978bd0526e0db1604fbd3e,,,,,,,,,,2,11.1492987,0
22/11/2023 15:56:57,NULL,PlayerDuelOverData,4f015279057240b26a155bdcef8df766,1,13,10,1,8,300,795,2.914065,156.217926,,,
22/11/2023 15:56:57,NULL,PlayerDuelOverData,4f015279057240b26a155bdcef8df766,2,15,12,5,7,465,830,4.516801,206.260269,,,
22/11/2023 15:56:57,NULL,DuelOverData,a2f0e87c53518df7fb7f29d4c7161b37,,,,,,,,,,1,102.948975,0
23/11/2023 01:11:58,NULL,PlayerDuelOverData,d82b630f56f74333ddec899420bbcb0c,1,5,0,0,5,100,40,10.620368,13.9553814,,,
23/11/2023 01:11:58,NULL,PlayerDuelOverData,d82b630f56f74333ddec899420bbcb0c,2,5,0,0,4,100,55,10.620368,14.4577379,,,
23/11/2023 01:11:58,NULL,DuelOverData,90dbfdda6de7d9b40d37248dd7b27569,,,,,,,,,,1,9.41587,0
23/11/2023 01:55:01,NULL,PlayerDuelOverData,2adba13f6da5881724c63b19502a0f98,1,0,0,0,5,0,175,0,5.043124,,,
23/11/2023 01:55:02,NULL,PlayerDuelOverData,8a0295e95a0157911ed13100affc68a9,2,7,0,0,0,140,45,26.5236111,15.2310629,,,
23/11/2023 01:55:02,NULL,DuelOverData,76b16f14e0a9ad4f5c257ad479a596d5,,,,,,,,,,1,5.278316,0
27/11/2023 17:30:15,NULL,PlayerDuelOverData,9d3b0a4603c0528a3657849dfb0d9b80,1,26,12,1,6,560,535,8.183,154.911789,,,
27/11/2023 17:30:15,NULL,PlayerDuelOverData,9d3b0a4603c0528a3657849dfb0d9b80,2,20,18,1,9,425,580,6.21031237,143.140747,,,
27/11/2023 17:30:15,NULL,DuelOverData,c0dbcc306264b5a3a445161a23173161,,,,,,,,,,2,68.43456,4
28/11/2023 00:59:29,NULL,PlayerDuelOverData,3b96b42a9a9d24a22fc8864ef00b94af,1,4,0,0,6,80,55,8.974032,24.2055683,,,
28/11/2023 00:59:29,NULL,PlayerDuelOverData,3b96b42a9a9d24a22fc8864ef00b94af,2,7,0,0,4,140,55,15.7045574,15.1327629,,,
28/11/2023 00:59:30,NULL,DuelOverData,cca93c5f29b3198024904831897f2856,,,,,,,,,,1,8.91461,0
28/11/2023 12:44:45,NULL,PlayerDuelOverData,fba0f0a8817149ce5a7856047cc3da52,1,3,2,1,6,100,205,8.64592,21.3720818,,,
28/11/2023 12:44:45,NULL,PlayerDuelOverData,fba0f0a8817149ce5a7856047cc3da52,2,7,0,0,3,140,80,12.1042881,12.2947617,,,
28/11/2023 12:44:45,NULL,DuelOverData,165f95124f668b60a4eacf11f9b2087f,,,,,,,,,,1,11.5661488,0
29/11/2023 13:47:28,NULL,PlayerDuelOverData,5b6fd9219abef0f50a4802bbc2ac3f94,1,1,0,0,5,20,20,0.6251507,10.1704216,,,
29/11/2023 13:47:29,NULL,PlayerDuelOverData,edb636d451d4b3e3148e3302d5325d2a,2,5,0,0,1,100,55,3.1257534,13.5227718,,,
29/11/2023 13:47:29,NULL,DuelOverData,830fbc84e9c1ff28a03d72e0f0f83fb2,,,,,,,,,,1,31.9922867,0
29/11/2023 13:47:42,NULL,PlayerDuelOverData,72589f9d60b64978bce4b1e23782c84d,1,0,0,0,5,0,0,0,9.326256,,,
29/11/2023 13:47:42,NULL,PlayerDuelOverData,72589f9d60b64978bce4b1e23782c84d,2,5,0,0,0,100,15,28.1734066,9.658239,,,
29/11/2023 13:47:42,NULL,DuelOverData,88e46ad3c5a30b0b50e78617718c8a79,,,,,,,,,,1,3.54944658,0
29/11/2023 13:51:43,NULL,PlayerDuelOverData,0805796bda03002883e159cb8cb5ad59,1,0,0,0,5,0,0,0,5.0980587,,,
29/11/2023 13:51:44,NULL,PlayerDuelOverData,60fb2a7dfb98d16b9f86ed9dcaa1f794,2,5,0,0,0,100,20,22.3294659,13.327075,,,
29/11/2023 13:51:44,NULL,DuelOverData,e851f1745e6ed71b10021d6ddc39ea76,,,,,,,,,,1,4.47838736,0
3/12/2023 20:06:20,NULL,PlayerDuelOverData,845aa26c4c49ea0467b561369caea92f,1,7,2,2,9,200,210,5.397472,58.3388367,,,
3/12/2023 20:06:21,NULL,PlayerDuelOverData,9bc1654872b0449991690a56e2682778,2,10,3,1,7,240,220,6.476966,62.4400558,,,
3/12/2023 20:06:21,NULL,DuelOverData,47ffc215a7575d441aa97e04638b3803,,,,,,,,,,2,37.0543861,4
4/12/2023 19:34:49,NULL,PlayerDuelOverData,eeb46d4ae997fb35275df0f3d2fdbeb9,1,5,0,0,3,100,75,16.86356,9.803051,,,
4/12/2023 19:34:50,NULL,PlayerDuelOverData,8f4566565b54fc2c9954950318280651,2,3,0,0,5,60,25,10.1181355,9.356364,,,
4/12/2023 19:34:50,NULL,DuelOverData,31c5265c29d50891ec4327c4df303962,,,,,,,,,,2,5.92994642,0
4/12/2023 19:46:11,NULL,PlayerDuelOverData,2071dd6b8a6e7cd834729af0f607c978,1,5,0,0,3,125,30,25.1906013,10.4451694,,,
4/12/2023 19:46:12,NULL,PlayerDuelOverData,58c328a895f70c546941f3c08976de2f,2,3,0,0,5,75,25,15.1143608,11.3423548,,,
